순위,책이름,저자,출판사,가격
1,"세네카, 오늘을 빼앗기고 있는 당신에게",루키우스 안나이우스 세네카 저/하와이 대저택 편역,논픽션,"16,200원"
2,오디세이아,호메로스 저/페테르 파울 루벤스 그림/박문재 역,현대지성,"24,300원"
3,원소 원정대: 118개 캐릭터로 마스터하는 주기율표 공략집,아게도리도리 글그림/박재현 역/장홍제 감수,윌북주니어,"17,820원"
4,오뒷세이아,호메로스 저/김헌 역,을유문화사,"22,500원"
5,싯다르타,헤르만 헤세 저/박병덕 역,민음사,"7,200원"
6,투명한 나선,히가시노 게이고 저/김선영 역,북다,"19,800원"
7,니체의 초월자,프리드리히 니체 저/김철 편역,히읏,"15,210원"
8,오디세이아,호메로스 원저/니콜라 친퀘티 글/데시데리아 귀치아르디니 그림/이승수 역,마음이음,"15,120원"
9,모순,양귀자 저,쓰다,"11,700원"
10,최상위권의 비밀,김민지 저,동양북스(동양books),"17,820원"
11,그랬다고 적었다,김애란 저,문학동네,"15,300원"
12,테오,앨런 레비 저/노지양 역,오팬하우스,"18,900원"
13,일리아스,호메로스 원저/니콜라 친퀘티 글/데시데리아 귀치아르디니 그림/이승수 역,마음이음,"15,120원"
14,독서의 기술,고명환 저,라곰,"17,820원"
15,공부가 결국 너를 지켜줄 거야,임민찬 저,퍼스트펭귄,"17,820원"
16,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북 ,"17,100원"
17,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS 저,YBM(와이비엠),"19,800원"
18,수족관,유래혁 저,포스터샵,"15,930원"
19,일리아스&오디세이아 세트,호메로스 저/페테르 파울 루벤스 그림/박문재 역,현대지성,"49,500원"
20,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS 저,YBM(와이비엠),"19,800원"
21,내면 근력,짐 머피 저/지여울 역,윌북(willbook),"19,800원"
22,나는 왜 네 말이 힘들까,박재연 저,한빛라이프,"19,800원"
23,2027 공단기 소방단기 써니 행정법총론 기본서,박준철 편저,공단기(에스티유니타스),"39,600원"
24,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니 저/한윤진 역,미래의창,"13,500원"
25,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북 ,"16,650원"
26,안녕이라 그랬어 (집 에디션),김애란 저,문학동네,"15,120원"
27,2027 유휘운 행정법총론 요약노트+기출문제 (요.플.),유휘운 편저,모두공북스,"33,300원"
28,급류,정대건 저,민음사,"12,600원"
29,프로젝트 헤일메리,앤디 위어 저/강동혁 역,알에이치코리아(RHK),"19,800원"
30,나의 첫 번째 부동산 교과서,송희구 저,서삼독,"20,700원"
31,"안녕, 피터팬",전경철 저,이야기장수,"19,800원"
32,2027 공단기 소방단기 써니 행정법총론 핵심집약,박준철 편저,공단기(에스티유니타스),"30,600원"
33,데미안,헤르만 헤세 저/전영애 역,민음사,"7,200원"
34,용의자 X의 헌신,히가시노 게이고 저/양억관 역,재인,"16,920원"
35,독하게 돈 공부,박소연 저,메이븐,"20,700원"
36,절창 切創,구병모 저,문학동네,"16,200원"
37,2027 이동기 영어 문법 500제 + 핵심문법 44포인트 요약노트,(주)이앤미래(이동기) 편저,지금(도서출판),"24,300원"
38,너는 원래 괜찮은 사람이야,윤지영 저,터닝페이지,"17,100원"
39,수험생을 위한 100일 기도,김종국 저,생활성서사,"14,400원"
40,엄마를 만나러 가는 길 : 사랑스러운 동그라미,고먕 원저/김영리 글,다산어린이,"13,500원"
41,타몬 군 지금 어느 쪽?! 13 한정판,시와스 유키 글그림,학산문화사,"12,600원"
42,행복할 거야 이래도 되나 싶을 정도로,일홍 저,부크럼,"16,200원"
43,빵충 사육 준수 사항,김혜영 저,안전가옥,"15,120원"
44,브람스를 좋아하세요...,프랑수아즈 사강 저/김남주 역,민음사,"9,000원"
45,괴테는 모든 것을 말했다 (여름 에디션),스즈키 유이 저/이지수 역,리프,"15,300원"
46,만화로 보는 5분 한국사,유요 글/미정 그림/신병주 감수,빅피시,"16,920원"
47,문해내공,"신종호, 김윤정 저",상상스퀘어,"22,500원"
48,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북 ,"19,800원"
